"(u'$75',)","(u'$39',)","(u'Dependable Fitness',)","(u'Up to 54% off Cross Training',)","(u'https://www.groupon.com/deals/dependable-fitness-1-1',)","([],)"
"(u'$75',)","(u'$44.99',)","(u'The Great Inflatable Race',)","(u'Up to 50% off The Great Inflatable Race',)","(u'https://www.groupon.com/deals/the-great-inflatable-race-25',)","([(u'Southeastern Brooklyn', u'')],)"
"(u'$90',)","(u'$14',)","(u'ECF Elite Martial Arts & Fitness',)","(u'Up to 87% off Brazilian Jujitsu Classes',)","(u'https://www.groupon.com/deals/bc-bjj-mma-academy-of-self-defense',)","([(u'ECF Elite Martial Arts & Fitness', u'')],)"
"(u'$141',)","(u'$25',)","(u'Silbers Martial Arts',)","(u'Up to 82% off Fitness Kickboxing Classes',)","(u'https://www.groupon.com/deals/silbers-martial-arts-1',)","([(u'Franklin Square', u'+15164855025')],)"
"(u'$70',)","(u'$49',)","(u'Tennis World NYC',)","(u'Up to 49% off Tennis',)","(u'https://www.groupon.com/deals/tennis-world-nyc-4',)","([],)"
"(u'$294',)","(u'$39',)","(u'Park Slope Academy Brazilian Jiu-Jitsu',)","(u'Up to 87% off Martial Arts Lesson',)","(u'https://www.groupon.com/deals/park-slope-academy-brazilian-jiu-jitsu-1',)","([(u'Park Slope', u'+17187886990')],)"
"(u'$120',)","(u'$59',)","(u'Fit Body Workx',)","(u'Up to 75% off KickBoxing Sessions',)","(u'https://www.groupon.com/deals/fit-body-workx',)","([],)"
"(u'$40',)","(u'$19',)","(u'Diamond Rock',)","(u'Up to 57% off Rock-Climbing Class',)","(u'https://www.groupon.com/deals/diamond-gymnastics-diamond-rock',)","([(u'East Hanover', u'+19735600414')],)"
"(u'$54',)","(u'$24',)","(u'TITLE Boxing Club',)","(u'Up to 61% off Kickboxing Classes',)","(u'https://www.groupon.com/deals/title-boxing-club-wayne',)","([(u'Wayne', u'+19739686897')],)"
"(u'$90',)","(u'$14',)","(u'Kickboxing East Elmhurst',)","(u'Up to 87% off Kickboxing Classes',)","(u'https://www.groupon.com/deals/kickboxing-east-elmhurst',)","([],)"
"(u'$100',)","(u'$39',)","(u'World Seido Karate',)","(u'Up to 70% off Karate Classes',)","(u'https://www.groupon.com/deals/world-seido-karate',)","([(u'New York', u'+12129240511')],)"
"(u'$60',)","(u'$29',)","(u'Manhattan Kayak',)","(u'Up to 52% off Kayaking or Paddleboarding',)","(u'https://www.groupon.com/deals/manhattan-kayak-4',)","([(u'Pier 84 Boathouse', u'+12129241788')],)"
"(u'$99',)","(u'$19',)","(u'Lifestyle MMA',)","(u'Up to 81% off Groupon',)","(u'https://www.groupon.com/deals/lifestyle-mma-3',)","([(u'Astoria', u'+17186060065')],)"
"(u'$125',)","(u'$19',)","(u'Militia Fight Academy',)","(u'Up to 85% off Martial Arts Classes',)","(u'https://www.groupon.com/deals/militia-fight-academy-2',)","([],)"
"(u'$180',)","(u'$20',)","(u'ECF Elite Martial Arts & Fitness',)","(u'Up to 89% off Kickboxing Classes',)","(u'https://www.groupon.com/deals/bc-bjj-mma-academy-of-self-defense-2',)","([(u'ECF Elite Martial Arts & Fitness', u'')],)"
"(u'$44.95',)","(u'$25',)","(u'Kettlebell Kickboxing',)","(u'Up to 55% off Fitness DVDs',)","(u'https://www.groupon.com/deals/kettlebell-kickboxing-1',)","([],)"
"(u'$90',)","(u'$25',)","(u'Puerto Havana Fitness',)","(u'Up to 73% off MMA Classes',)","(u'https://www.groupon.com/deals/puerto-havana-fitness-8',)","([],)"
"(u'$425',)","(u'$199',)","(u'Yorkville Tennis Club',)","(u'Up to 55% off Tennis Clinics',)","(u'https://www.groupon.com/deals/yorkville-tennis-club-3-7',)","([(u'Yorkville Tennis Club', u''), (u'Upper East Side', u'+12129870301'), (u'Sutton East Tennis Club', u'+12127513452')],)"
"(u'$79',)","(u'$15',)","(u'Amerikick - Brooklyn',)","(u'Up to 81% off Kids Martial Arts Classes',)","(u'https://www.groupon.com/deals/amerikick-martial-arts-brooklyn-2',)","([(u'Brooklyn', u'+17185677099'), (u'Brooklyn', u'+17187688200')],)"
"(u'$95',)","(u'$29',)","(u'CKO Kickboxing Sheepshead Bay',)","(u'Up to 69% off Kickboxing Classes and Gloves',)","(u'https://www.groupon.com/deals/cko-kickboxing-sheepshead-bay-2',)","([(u'Sheepshead Bay', u'+13475875715')],)"
"(u'$250',)","(u'$59',)","(u'Edgewater Kung Fu Academy',)","(u'Up to 90% off Tai Chi or Kickboxing',)","(u'https://www.groupon.com/deals/edgewater-kungfu-academy',)","([(u'Edgewater', u'+12018401133')],)"
"(u'$60',)","(u'$41',)","(u'Xcelerated Adventures',)","(u'Up to 34% off Breakneck Ridge Day Hike',)","(u'https://www.groupon.com/deals/xcelerated-adventures-2',)","([(u'Upper East Side', u'+18559235238')],)"
"(u'$125',)","(u'$25',)","(u'Ronin Shotokan Karate-Do & Fitness Studio',)","(u'Up to 83% off Martial Arts Classes',)","(u'https://www.groupon.com/deals/ronin-shotokan-karate-do-fitness-studio-2',)","([(u'East Flatbush', u'+17184340201')],)"
"(u'$150',)","(u'$29',)","(u'East Village Martial Arts',)","(u'Up to 84% off Martial Arts Classes',)","(u'https://www.groupon.com/deals/east-village-martial-arts',)","([],)"
"(u'$120',)","(u'$59',)","(u'Fallon Golf',)","(u'Up to 56% off Private Golf Training Sessions',)","(u'https://www.groupon.com/deals/fallon-golf',)","([(u'Edgewater', u'+12018034926')],)"
"(u'$50',)","(u'$19',)","(u'Tai Chi Academy of Northern New Jersey/Montclair',)","(u'Up to 72% off Tai Chi Classes',)","(u'https://www.groupon.com/deals/tai-chi-academy-of-northern-new-jersey-1',)","([(u'Tai Chi Academy of Northern New Jersey/Montclair', u'+19734962653'), (u'Montclair Heights', u''), (u'Montclair Heights', u'+19734952653')],)"
"(u'$90',)","(u'$15',)","(u'Fitness Kickboxing America',)","(u'Up to 86% off Kickboxing Classes',)","(u'https://www.groupon.com/deals/fitness-kickboxing-america-1-new-york',)","([],)"
"(u'$80',)","(u'$45',)","(u'Bridal Wars',)","(u'Up to 52% off Registration to Bridal Wars',)","(u'https://www.groupon.com/deals/bridal-wars-21',)","([(u'Nesconset', u'')],)"
"(u'$75',)","(u'$29',)","(u'Pouncing Tigers',)","(u'Up to 61% off Kickboxing Classes',)","(u'https://www.groupon.com/deals/pouncing-tigers-2',)","([(u'Harlem', u'+16464771421')],)"
"(u'$60',)","(u'$19',)","(u'DP Martial Arts Academy',)","(u'Up to 68% off Martial-Arts Classes',)","(u'https://www.groupon.com/deals/dp-martial-arts-academy',)","([(u'Westwood', u'+12016645260')],)"
"(u'$245',)","(u'$65',)","(u'Krav Maga Institute',)","(u'Up to 73% off Krav Maga Classes',)","(u'https://www.groupon.com/deals/krav-maga-institute-4',)","([],)"
"(u'$210',)","(u'$89',)","(u'Great Bear Golf Club',)","(u'Up to 60% off Golf Court Access',)","(u'https://www.groupon.com/deals/great-bear-golf-club',)","([(u'Bangor Central Historic District', u'+15702232000')],)"
"(u'$45',)","(u'$22',)","(u'Gladiators Boxing and Barbells',)","(u""Up to 51% off Children's Boxing Classes"",)","(u'https://www.groupon.com/deals/gladiators-boxing-barbells-1',)","([(u'Gladiators Boxing and Barbells', u'+19734169595')],)"
"(u'$100',)","(u'$39',)","(u'Shaolin Kung Fu Training Center',)","(u'Up to 66% off Kung Fu Lessons',)","(u'https://www.groupon.com/deals/shaolin-kung-fu-training-center',)","([(u'Chelsea', u'+12122427308')],)"
"(u'$30',)","(u'$18',)","(u'Tennis League Network',)","(u'Up to 40% off Tennis Partner Program',)","(u'https://www.groupon.com/deals/chitown-tennis-tennis-league-network',)","([],)"
"(u'$40',)","(u'$20',)","(u'TYR',)","(u'Up to 50% off Swimwear and Athletic Gear',)","(u'https://www.groupon.com/deals/tyr-sport-inc',)","([],)"
"(u'$39',)","(u'$20',)","(u""B.M. Kim's Taekwondo"",)","(u'Up to 49% off Martial Arts Classes & Uniform',)","(u'https://www.groupon.com/deals/b-m-kim-s-taekwondo',)","([],)"
"(u'$100',)","(u'$49',)","(u'',)","(u'',)","(u'https://www.groupon.com/deals/pulse-taekwondo-center',)","([(u'Astoria', u'+17184403233')],)"
"(u'$75',)","(u'$25',)","(u'',)","(u'',)","(u'https://www.groupon.com/deals/brooklyn-mixed-martial-arts',)","([(u'Brooklyn', u'+17186775979')],)"
"(u'$75',)","(u'$29',)","(u'',)","(u'',)","(u'https://www.groupon.com/deals/sportset-health-fitness-club-new-1',)","([(u'Rockville Centre', u'+15165368700')],)"
"(u'$100',)","(u'$19',)","(u'',)","(u'',)","(u'https://www.groupon.com/deals/brooklyn-martial-arts',)","([(u'Boerum Hill', u'+17184039026')],)"
"(u'$525',)","(u'$309',)","(u'',)","(u'',)","(u'https://www.groupon.com/deals/bridge-golf-learning-center',)","([(u'Central Harlem', u'+16464537488')],)"
"(u'$40',)","(u'$20',)","(u'',)","(u'',)","(u'https://www.groupon.com/deals/brooklyn-bike-doctor',)","([(u'Williamsburg', u'+17183023145')],)"
"(u'$90',)","(u'$14',)","(u'',)","(u'',)","(u'https://www.groupon.com/deals/america-s-finest-karate-kickboxing-academy',)","([],)"
"(u'$120',)","(u'$60',)","(u'',)","(u'',)","(u'https://www.groupon.com/deals/brooklyn-greens-1',)","([],)"
"(u'$80',)","(u'$25',)","(u'',)","(u'',)","(u'https://www.groupon.com/deals/cko-kickboxing-chatham-7',)","([],)"
"(u'$90',)","(u'$29.99',)","(u'',)","(u'',)","(u'https://www.groupon.com/deals/samurai-sword-class-nyc-1',)","([(u'East Harlem', u'+16465809532')],)"
"(u'$300',)","(u'$49',)","(u'',)","(u'',)","(u'https://www.groupon.com/deals/the-jiu-jitsu-mill',)","([],)"
"(u'$75',)","(u'$35',)","(u'',)","(u'',)","(u'https://www.groupon.com/deals/vertically-inclined',)","([(u'Vertically Inclined', u'+13473266748')],)"
"(u'$80',)","(u'$40',)","(u'',)","(u'',)","(u'https://www.groupon.com/deals/the-bicycle-store-2',)","([],)"
"(u'$79',)","(u'$39',)","(u'',)","(u'',)","(u'https://www.groupon.com/deals/brookdale-cycle',)","([(u'Brookdale', u'+19733388908')],)"
"(u'$35',)","(u'$20',)","(u'',)","(u'',)","(u'https://www.groupon.com/deals/queens-archery-6-14',)","([(u'Queens Archery', u'+17184611756')],)"
"(u'$175',)","(u'$80',)","(u'',)","(u'',)","(u'https://www.groupon.com/deals/gold-medal-gymnastics-14',)","([(u'Garden City', u'+15163573636')],)"
